PANTALLA,SECCIÓN,ID,tags,values html,Texto Español,Texto Italiano,Texto Inglés,Texto Portugués,Texto Portugués
,partners,{{$store.getters.getTags({tag:'partners_text5'})}},partners_text5,,"Todos nuestros proyectos se llevan a cabo con la concepción de una relación que perdura en el tiempo, para mejorar y refinar cada proceso.","Tutti i nostri progetti si portano avanti nel segno di una relazione che perduri nel tempo, per migliorare ed affinare ogni processo.","All our projects are carried out with the conception of a relationship that lasts over time, to improve and refine each process.","Todos os nossos projetos são realizados com a concepção de um relacionamento que dura ao longo do tempo, para melhorar e refinar cada processo.","Tous nos projets sont réalisés avec la conception d'une relation qui dure dans le temps, afin d'améliorer et d'affiner chaque processus."
,partners,{{$store.getters.getTags({tag:'partners_title4'})}},partners_title4,,ESTRATEGIAS Y CAMPAÑAS DE MARKETING,STRATEGIE E CAMPAGNE MARKETING,STRATEGIES AND MARKETING CAMPAIGNS,ESTRATÉGIAS E CAMPANHAS DE MARKETING,STRATÉGIES ET CAMPAGNES DE MARKETING
,partners,{{$store.getters.getTags({tag:'partners_text6'})}},partners_text6,,"Prestando especial atención al mundo de las redes sociales y los motores de búsqueda, apoyamos a nuestros clientes en todas las fases de lanzamiento y crecimiento.","Dedicando particolare attenzione al mondo dei Social Networks e dei motori di ricerca, affianchiamo ai nostri clienti in tutte le fasi di lancio e crescita della loro pagina web."," Paying special attention to the world of social networks and search engines, we support our clients in all phases of launch and growth."," Prestando atenção especial ao mundo das redes sociais e dos mecanismos de busca, apoiamos nossos clientes em todas as fases de lançamento e crescimento","En accordant une attention particulière au monde des réseaux sociaux et des moteurs de recherche, nous assistons nos clients dans toutes les phases de lancement et de croissance."
,partners,{{$store.getters.getTags({tag:'partners_text7'})}},partners_text7,,¿Qué ofrecemos para hacer crecer tu empresa?,Cosa offriamo per far crescere la tua azienda?,What do we offer to grow your company?,O que oferecemos para expandir sua empresa?,Que proposons-nous pour développer votre entreprise?
,partners,{{$store.getters.getTags({tag:'partners_text8'})}},partners_text8,,SERVICIOS PARA LA AGENCIA,SERVIZI PER LE AGENZIE,SERVICES FOR THE AGENCY,SERVIÇOS PARA A AGÊNCIA,SERVICES POUR L'AGENCE
,partners,{{$store.getters.getTags({tag:'partners_title5'})}},partners_title5,,DOMINIO & HOSTING,DOMINIO E HOSTING,DOMAIN & HOSTING,DOMÍNIO E HOSPEDAGEM,DOMAINE & HEBERGEMENT
,partners,{{$store.getters.getTags({tag:'partners_text9'})}},partners_text9,,"Identificación del dominio de un nuevo registro o transferencia del dominio existente, con su correspondiente web mail. El servicio de alojamiento se proporcionará a través de nuestros servidores.","Identificazione del dominio di  nuova registrazione o trasferimento di quello già esistente, includendo la corrispondente web mail. Il servizio di hosting avverrà attraverso i nostri server.","Identification of the domain of a new registration or transfer of the existing domain, with its corresponding web mail service. The hosting service will be provided through our servers.","Identificação do domínio de um novo registro ou transferência do domínio existente, com seu serviço de webmail correspondente. O serviço de hospedagem será fornecido através de nossos servidores.","Identification du domaine d'un nouvel enregistrement ou transfert du domaine existant, avec son service de messagerie web correspondant. Le service d'hébergement sera fourni via nos serveurs."
,partners,{{$store.getters.getTags({tag:'partners_title6'})}},partners_title6,,BOLETÍN,NEWSLETTER,NEWSLETTER,BOLETIM DE NOTÍCIAS,BULLETIN
,partners,{{$store.getters.getTags({tag:'partners_text10'})}},partners_text10,,Gestión de una lista de contactos personales con la posibilidad de enviar correo electrónico y boletines personalizados con software profesional.,Gestione di una lista di contatti personali con la possibilità di inviare posta elettronica e newsletter personalizzati attraverso un interfaccia professionale.,Management of a list of personal contacts with the possibility of send personalized emails and newsletters using professional software.,Gestão de uma lista de contatos pessoais com a possibilidade de enviar e-mails personalizados e boletim de notícias usando software profissional.,Gestion d'une liste de contacts personnels avec possibilité d'envoyer des emails et des bulletin personnalisés à l'aide d'un logiciel professionnel.
,partners,{{$store.getters.getTags({tag:'partners_title7'})}},partners_title7,,ENTREVISTA,INTERVISTA,INTERVIEW,ENTREVISTA,ENTREVUE
,partners,{{$store.getters.getTags({tag:'partners_text11'})}},partners_text11,,"
Realización de una entrevista telefónica para recopilar información específica sobre tu empresa",Realizzazione di un' intervista telefonica per raccogliere informazioni specifiche sulla tua azienda.,We perform a telephone interview to gather specific information about your company,Realizamos uma entrevista por telefone para coletar informações específicas sobre sua empresa,Nous effectuons un entretien téléphonique pour recueillir des informations spécifiques sur votre entreprise.
,partners,{{$store.getters.getTags({tag:'partners_title8'})}},partners_title8,,BANNERS E IMÁGENES,BANNERS E IMMAGINI,BANNERS AND IMAGES,BANNERS E IMAGENS,BANNIERS ET IMAGES
,partners,{{$store.getters.getTags({tag:'partners_text12'})}},partners_text12,,Creación y publicación de banners e imágenes (usando fotos del cliente o categoría de los archivos fotográficos) cargadas por el equipo editorial.,Creazione e pubblicazione di banners e immagini (utilizzando le foto del cliente o immagini d'archivio online)  caricate dalla nostra redazione.,Creation and publication of banners and images (using photos provided by the client or category of photographic archives) loaded by the editorial team.,Criação e publicação de banners e imagens (usando fotos fornecidas pelo cliente ou categoria de arquivos fotográficos) carregadas pela equipe editorial.,Création et publication de bannières et d'images (à l'aide de photos fournies par le client ou d'une catégorie d'archives photographiques) chargées par l'équipe éditoriale.
,partners,{{$store.getters.getTags({tag:'partners_title9'})}},partners_title9,,RESPONSIVE,RESPONSIVE,RESPONSIVE,RESPONSIVO,RESPONSIVE
,partners,{{$store.getters.getTags({tag:'partners_text13'})}},partners_text13,,"Optimización de sitios web para computadoras, teléfonos inteligentes y tablets.","Ottimizzazione dei siti web per computer, smartphone  e tablet.","Optimization of websites for PCs, smartphones and tablets.","Otimização de sites para PCs, smartphones e tablets.","Optimisation des sites web pour PCs, smartphones et tablettes."
,partners,{{$store.getters.getTags({tag:'partners_title10'})}},partners_title10,,PANEL DE CONTROL,PANNELLO DI CONTROLLO,CONTROL PANEL,PAINEL DE CONTROLE,PANNEAU DE CONTRÔLE
,partners,{{$store.getters.getTags({tag:'partners_text14'})}},partners_text14,,"Acceso a un panel de control para la gestión autónoma de sus textos, imágenes, videos y ofertas.","Accesso a un pannello di controllo per la gestione autonoma di testi, immagini, video e offerte.","Access to a control panel for the autonomous management of your texts, images, videos and offers.","Acesso a um painel de controle para o gerenciamento autônomo de seus textos, imagens, vídeos e ofertas.","Accès à un panneau de contrôle pour la gestion autonome de vos textes, images, vidéos et offres."
,partners,{{$store.getters.getTags({tag:'partners_title11'})}},partners_title11,,REDACCIÓN DE CONTENIDO,REDAZIONE DEI CONTENUTI,WRITING OF CONTENT,ESCRITA DO CONTEÚDO,ECRITURE DE CONTENU
,partners,{{$store.getters.getTags({tag:'partners_text15'})}},partners_text15,,Creación e inserción de contenido textual en una perspectiva SEO para una correcta optimización de su sitio web.,"Creazione ed inserzione dei contenuti testuali in prospettiva SEO, per una corretta ottimizzazione della presenza sui motori di ricerca del suo sito.",Creation and insertion of textual content in an SEO perspective for a correct optimization of your website.,Criação e inserção de conteúdo textual em uma perspectiva de SEO para uma otimização correta do seu site.,Création et insertion de contenu textuel dans une perspective de référencement pour une optimisation correcte de votre site web.
,partners,{{$store.getters.getTags({tag:'partners_title12'})}},partners_title12,,BLOG,BLOG,BLOG,BLOG,BLOG
,partners,{{$store.getters.getTags({tag:'partners_text16'})}},partners_text16,,"Apertura y configuración, primer post de bienvenida, guía y manual de usuario.","Apertura e configurazione, primo post di benvenuto, guida e manuale dell'utente.","Opening and configuration, first welcome post, guide and user manual.","Abertura e configuração, primeiro post de boas-vindas, guia e manual do usuário.","Ouverture et configuration, premier message de bienvenue, guide et manuel d'utilisation"
,partners,{{$store.getters.getTags({tag:'partners_title12})}},partners_title17,,ASISTENCIA WEB,ASSISTENZA WEB,WEB ASSISTANCE,ASSISTÊNCIA WEB,ASSISTANCE WEB
,partners,{{$store.getters.getTags({tag:'partners_text17'})}},partners_text17,,"Soporte y asistencia de un equipo web profesional, hasta que su sitio esté en línea y se vcumplan 7 tickets de asistencia post-publicación.","Supporto e assistenza da parte di un web team professionale, fino alla messa online del suo sito e con 7 tickets di assistenza post-pubblicazione.","Support and assistance from a professional web team, until your site is online and the 7 post-publication assistance tickets quota are fully paid.","Suporte e assistência de uma equipe web profissional, até que seu site esteja on-line e a cota de tickets de assistência pós-publicação 7 seja totalmente paga.",Assistance et assistance d'une équipe web professionnelle jusqu'à la mise en ligne de votre site et le paiement intégral du quota de 7 tickets d'assistance post-publication.
,partners,{{$store.getters.getTags({tag:'partners_title13'})}},partners_title13,,SECCIONES DEL SITIO,SEZIONI DEL SITO,SITE SECTIONS,SEÇÕES DO SITE,SECTIONS DU SITE
,partners,{{$store.getters.getTags({tag:'partners_text18'})}},partners_text18,"<ol>
                        <li>Página de inicio</li>
                        <li>Nosotros</li>
                        <li>Galería y Banners</li>
                        <li>Ofertas</li>
                        <li>Blog</li>
                        <li>Contactos</li>
                        <li>Comercio Electrónico / Reserva, etc</li>
                    </ol>","Creación en línea y puesta en los servicio de secciones:
1. Página de inicio
2. Nosotros
3. Galería y Banners
4. Ofertas
5. Blog
6. Contactos
7. Comercio Electrónico / Reserva, etc","1. Home page   2.Su di noi   3.Galleria e Banners  4. Offerte   5.Blog   6.Contatti   7.E-Commerce/Prenotazioni, etc.","Online creation and placement in the sections service:
1. Home page
2. Us
3. Gallery and Banners
4. Offers
5. Blog
6. Contacts
7. E-Commerce / Reservation, etc","Criação e colocação online no serviço de seções:
1. Página inicial
2. Nós
3. Galeria e Banners
4. Ofertas
5. Blog
6. Contatos
7. E-Commerce / Reserva, etc","Création et placement en ligne dans le service des sections:
1. Page d'accueil
2. Nous
3. Galerie et Bannières
4. Offres
5. Blog
6. Contacts
7. E-Commerce / Réservation, etc."
,partners,{{$store.getters.getTags({tag:'partners_title14'})}},partners_title14,,TAG,TAG,TAG,TAG,TAG
,partners,{{$store.getters.getTags({tag:'partners_text19'})}},partners_text19,"Sistema de asignación de etiquetas TAG:<br>
                    Palabra clave + Municipio<br>
                    Palabra clave + Provincia<br>
                    Palabra clave + Pipo<br>
                    Palabra clave + Social Ash #<br>","Sistema de asignación de etiquetas TAG:
Palabra clave + Municipio
Palabra clave + Provincia
Palabra clave + Pipo
Palabra clave + Social Ash #",Sistema di assegnazione TAG:  Parola chiave+ Municipio    Parola chiave + provincia   Parola chiave + Pipo    Parola chiave + Social Ash#,"TAG assignment system:
Keyword + City
Keyword + Province
Keyword + Pipo
Keyword + Social Hash #","Sistema de atribuição TAG:
Palavra-chave + Cidade
Palavra-chave + Província
Palavra-chave + Pipo
Palavra-chave + Hash Social #","Système d'attribution de TAG:
Mot-clé + Ville
Mot-clé + Province
Mot-clé + Pipo
Mot-clé +  Hachage Social #"
,partners,{{$store.getters.getTags({tag:'partners_title15'})}},partners_title15,,E-COMMERCE,E-COMMERCE,E-COMMERCE,COMÉRCIO ELETRÔNICO,COMMERCE ÉLECTRONIQUE
,partners,{{$store.getters.getTags({tag:'partners_text20'})}},partners_text20,,Acceso al panel para la publicación y venta de productos o servicios.,Accesso al pannello per la pubblicazione e la vendita di prodotti o servizi.,Access to the panel for the publication and sale of products or services.,Acesso ao painel para a publicação e venda de produtos ou serviços.,Accès au panneau pour la publication et la vente de produits ou services.
,partners,{{$store.getters.getTags({tag:'partners_title16'})}},partners_title16,,SOCIAL MEDIA,SOCIAL MEDIA,SOCIAL MEDIA,MÍDIA SOCIAL,DES MÉDIAS SOCIAUX
,partners,{{$store.getters.getTags({tag:'partners_text21'})}},partners_text21,,"Apertura de la FanPage de Facebook, Google+, Google MyBusiness e Instagram. 
Plug-in automático para compartir sus noticias / promo de su sitio web.","Apertura della FanPage di Facebook, Google+, Google My Business e Instagram.  Plug-in automatico per condividere notizie/ promozioni della sua pagina web.","Opening of FanPage for Facebook, Google+, Google MyBusiness and Instagram.
Automatic plug-in to share your news / promo of your website.","Abertura da FanPage para Facebook, Google+, Google MyBusiness e Instagram.
Plug-in automático para compartilhar suas notícias / promoções de seu website.","Ouverture de FanPage pour Facebook, Google+, Google MyBusiness et Instagram.
Plug-in automatique pour partager vos news / promo de votre site web."
,Contact,{{$store.getters.getTags({tag:'conctac_text5'})}},conctac_text5,,Nombre,Nome,Name,Nome,Prénom
,Contact,{{$store.getters.getTags({tag:'conctac_text6'})}},conctac_text6,,Email,Email,Email,E-mail,E-mail
,Contact,{{$store.getters.getTags({tag:'conctac_text7'})}},conctac_text7,,Telefono,Telefono,Phone,Telefone,Téléphone
,Contact,{{$store.getters.getTags({tag:'conctac_text8'})}},conctac_text8,,Comentario,Commento,Commet,Comentário,Commentaire
