PANTALLA,SECCIÓN,ID,tags,values html,Texto Español,Texto Italiano,Texto Inglés,Texto Portugués,Texto Francés
,Bloque 4,{{$store.getters.getTags({tag:'home_text12'})}},home_text12,,"Fortalece la imagen de tu marca, con la planificación de estrategias en marketing digital ajustada a tus necesidades.",Fortifica l’immagine del tuo marchio con la pianificazione di strategie marketing digitale adatte alle tue esigenze,"Strengthen the image of your brand, with the planning of digital marketing strategies tailored to your needs.","Fortalecer a imagem da sua marca, com o planejamento de estratégias de marketing digital adaptadas às suas necessidades.",Renforcez l'image de votre marque grâce à la planification de stratégies de marketing numérique adaptées à vos besoins.
,Bloque 5,{{$store.getters.getTags({tag:'home_text13'})}},home_text13,,Últimos proyectos,Ultimi progetti,Last projects,Últimos projetos,Derniers projets
,Bloque 6,{{$store.getters.getTags({tag:'home_text14'})}},home_text14,,Portafolio,Portafoglio,Portfolio,Portfólio,Portefeuille
,Bloque 6,{{$store.getters.getTags({tag:'home_text15'})}},home_text15,,"restaurantes
","ristoranti
","restaurants
","restaurantes
","Restaurants
"
,Bloque 6,{{$store.getters.getTags({tag:'home_text21'})}},home_text21,,posadas,posadas ,inns ,pousadas,auberges
,Bloque 6,{{$store.getters.getTags({tag:'home_text22'})}},home_text22,,branding,branding ,branding,marca,l'image de marque
,Bloque 6,{{$store.getters.getTags({tag:'home_text23'})}},home_text23,,delivery,delivery,delivery ,entrega,livraison
,Bloque 6,{{$store.getters.getTags({tag:'home_text24'})}},home_text24,,ecommerce,ecommerce,e-commerce,comércio eletrônico,commerce électronique
,Bloque 6,{{$store.getters.getTags({tag:'home_text25'})}},home_text25,,booking ,booking,booking, reserva,réservation
,Bloque 6,{{$store.getters.getTags({tag:'home_text26'})}},home_text26,,identity ,identity,identity ,identidade ,identité
,Bloque 6,{{$store.getters.getTags({tag:'home_text27'})}},home_text27,,merchandising,merchandising,merchandising,merchandising,merchandising
,Bloque 7,{{$store.getters.getTags({tag:'home_text16'})}},home_text16,,Nuestras sedes,Le nostre sedi,Where we are,Onde estamos,Où nous sommes
,Contact,{{$store.getters.getTags({tag:'conctac_title1'})}},conctac_title1,,¿Cómo te podemos ayudar?,Come possiamo aiutarti?,How can we help you?,Como podemos te ajudar?,Comment pouvons-nous vous aider?
,Bloque 8,{{$store.getters.getTags({tag:'home_title1'})}},home_title1,,Carreras profesionales,Percorsi Professionali,Professional careers,Carreiras profissionais,Carrières professionnelles
,Bloque 8,{{$store.getters.getTags({tag:'home_text18'})}},home_text18,,"Colaboramos con diseñadores, desarrolladores y estrategas talentosos para crear un trabajo increíble. Buscamos personas creativas, comprometidas, con pasión dispuestas a romper y expandir límites.","Collaboriamo con disegnatori, sviluppatori e strateghi talentuosi per creare un lavoro incredibile. Cerchiamo persone creative, con compromesso, passione e disposti a rompere e superare i limiti.","We collaborate with talented designers, developers and strategists to create incredible work. We are looking for creative, committed people with passion willing to break and expand limits.","Colaboramos com designers, desenvolvedores e estrategistas talentosos para criar um trabalho incrível. Estamos à procura de pessoas criativas e comprometidas com paixão, dispostas a quebrar e expandir os limites.","Nous collaborons avec des concepteurs, des développeurs et des stratèges talentueux pour créer un travail incroyable. Nous recherchons des personnes créatives, engagées, passionnées et désireuses de dépasser les limites."
,Bloque 8,{{$store.getters.getTags({tag:'home_text19'})}},home_text19,,Ver Perfiles,Vedi Profili,See Profiles,Veja os Perfis,Voir les profils
,Bloque 9,{{$store.getters.getTags({tag:home_text29'})}},home_text29,,Nuestras últimas noticias de logros y actualidades.,Le nostre ultime notizie di risultati e notizie.,Our latest news of achievements and news.,Nossas últimas notícias de conquistas e novidades.,Nos dernières nouvelles des réalisations et des nouvelles.
,Bloque 9,{{$store.getters.getTags({tag:home_text28'})}},home_text28,,Visitar Blog,Visita il Blog,Visit Blog,Visite o Blog,Visitez le blog
,Footer,{{$store.getters.getTags({tag:'footer_text20'})}},footer_text20,,Inicio La Compañia Agencias Carreras,Home La Compagnia Agenzie Percorsi Professionali,Home The Companies Agencies Career,Home As Companhias Agências Carreira,Accueil Les Entreprises Agences Carrière
,Header,{{$store.getters.getTags({tag:'general_vermas'})}},general_vermas,,Ver más,Vedi di più,See more,Ver mais,Voir plus
,especialidades_botonera,{{$store.getters.getTags({tag:'general_btn_especialities'})}},general_btn_especialities,,Especialidades,Specialità,Specialties,Especialidades,Spécialités
,especialidades_header,{{$store.getters.getTags({tag:'specialties_text1'})}},specialties_text1,,Especialistas en el área digital,Specialisti del Digitale,Specialists in the digital area,Especialistas na área digital,Spécialistes du numérique
,especialidades_header,{{$store.getters.getTags({tag:'specialties_text2'})}},specialties_text2,,Generamos Inteligencia Digital y la distribuimos a todos los miembros de nuestra comunidad a través del procesamiento de Big Data.,Creiamo Intelligenza Digitale e la distribuiamo a tutti i membri della nostra comunità attraverso l'elaborazione dei Big Data.,We generate Digital Intelligence and deliver it to all members of our community through Big Data processing.,Nós geramos Inteligência Digital e entregamos a todos os membros de nossa comunidade através do processamento de Big Data.,Nous générons Digital Intelligence et le diffusons à tous les membres de notre communauté par le biais du traitement Big Data.
,especialidades_seccion1,{{$store.getters.getTags({tag:'specialties_title1'})}},specialties_title1,,Jumperr Studio,Jumperr Studio,Jumperr Studio,Jumperr Studio,Jumperr Studio
,especialidades_seccion1,{{$store.getters.getTags({tag:'specialties_text3'})}},specialties_text3,"<p class=""mb-4"">
                                Podrás acceder a estudios sectoriales, modelos
                                de negocio y análisis de tus competidores, evaluando
                                las oportunidades de crecimiento del mercado al que
                                aspiras, impulsando tu negocio con nuestro apoyo.
                            </p>
                            <p class=""mb-4"">
                                Te ofrecemos la creación de un sitio web totalmente nuevo
                                o una revisión del actual, mejorando su contenido para
                                permitir un mejor posicionamiento en los motores de búsqueda.
                            </p>

                            <ul>
                                <li>Consejos de los mejores profesionales de <strong>Jumperr.</strong></li>
                                <li>Estudios sectoriales.</li>
                                <li>Revenue model.</li>
                                <li>Análisis de presencia en <strong>redes sociales.</strong></li>
                                <li>Análisis de motores de búsqueda.</li>
                                <li>Nueva <strong>página web</strong> u optimización de la actual.</li>
                                <li>Draft Proposal con la propuesta de negocio.</li>
                            </ul>","<p class=""mb-4"">
Podrás acceder a estudios sectoriales, modelos de negocio y análisis de tus competidores, evaluando las oportunidades de crecimiento del mercado al que aspiras, impulsando tu negocio con nuestro apoyo. 
 </p>

 <p class=""mb-4""> 
Te ofrecemos la creación de un sitio web totalmente nuevo o una revisión del actual, mejorando su contenido para permitir un mejor posicionamiento en los motores de búsqueda.
</p>

 <ul>
 <li>Consejos de los mejores profesionales de Jumperr. </li>
 <li>Estudios sectoriales. </li>
 <li>Revenue model. </li>
 <li>Análisis de presencia en redes sociales. </li>
 <li>Análisis de motores de búsqueda.</li>
 <li>Nueva página web u optimización de la actual. </li>
 <li>Draft Proposal con la propuesta de negocio.</li>
</ul>

","<p class=""mb-4"">Potrai accedere a studi di settore, modelli di business e analisi della concorrenza, valutando le opportunità di crescita del mercato al quale ambisci. </p>  

<p class=""mb-4"">Ti offriamo la creazione di un sito web totalmente nuovo o un restyling di quello già esistente, migliorandone i contenuti per permettere Un posizionamento migliore nei motori di ricerca. </p>

<ul>
  <li>Suggerimenti da parte dei migliori professionisti di Jumperr. </li>
  <li>Studi di settore.</li>
  <li>Revenue Model.</li>
  <li>Analisi della presenza sui Social Network.</li>
  <li>Analisi dei motori di ricerca. </li>
 <li> Nuova pagina web o ottimizzazione di quella già esistente. </li>
  <li>Draft Proposal con la proposta di business.</li>
</ul>","

<p class=""mb-4"">You will be able to access sectoral studies, business models and analysis of your competitors, evaluating the growth opportunities of the market to which you aspire, boosting your business with our support.</p>

<p class=""mb-4"">We offer you the creation of a totally new website or a revision of the current one, improving its content to allow a better positioning in the search engines.</p>

<ul>
<li>Tips from Jumperr's best professionals.</li>
<li>Sector studies.</li>
<li>Revenue model.</li>
<li>Analysis of presence in social networks.</li>
<li>Search engine analysis.</li>
<li>New website or optimization of the current one.</li>
<li>Draft Proposal with the business proposal.</li>
</ul>
","

<p class=""mb-4"">Você poderá acessar estudos setoriais, modelos de negócios e análises de seus concorrentes, avaliando as oportunidades de crescimento do mercado a que você aspira, impulsionando seus negócios com nosso apoio.</p>

<p class=""mb-4"">Oferecemos-lhe a criação de um site totalmente novo ou uma revisão do atual, melhorando o seu conteúdo para permitir um melhor posicionamento nos motores de busca.</p>

<ul>
<li>Dicas dos melhores profissionais da Jumperr.</li>
<li>Estudos setoriais.</li>
<li>Modelo de receita.</li>
<li>Análise de presença nas redes sociais.</li>
<li>Análise do mecanismo de pesquisa.</li>
<li>Novo site ou otimização do atual.</li>
<li>Proposta preliminar com a proposta comercial.</li>
</ul>
","

<p class=""mb-4"">Vous serez en mesure d'accéder aux études sectorielles, aux modèles économiques et à l'analyse de vos concurrents, d'évaluer les opportunités de croissance du marché auquel vous aspirez et de dynamiser votre entreprise avec notre soutien.<p>

<p class=""mb-4"">Nous vous proposons la création d'un site web totalement nouveau ou une révision du site actuel, en améliorant son contenu afin de permettre un meilleur positionnement dans les moteurs de recherche.<p>

<ul>
<li>Conseils des meilleurs professionnels de Jumperr.</li>
<li>Etudes sectorielles.</li>
<li>Modèle de revenus.</li>
<li>Analyse de présence dans les réseaux sociaux.</li>
<li>Analyse de moteur de recherche.</li>
<li>Nouveau site ou optimisation du site actuel.</li>
<li>Projet de proposition avec la proposition commerciale.</li>
<ul>"
,especialidades_seccion2,{{$store.getters.getTags({tag:'specialties_title2'})}},specialties_title2,,DESARROLLO WEB y APPS,Sviluppo Web ed Apps,WEB DEVELOPMENT and APPS,DESENVOLVIMENTO DA WEB e APPS,DÉVELOPPEMENT WEB et APPS
,especialidades_seccion2,{{$store.getters.getTags({tag:'specialties_text4'})}},specialties_text4,"<p class=""mb-4 text-white"">
Somos la solución digital para el desarrollo de tu proyecto web
 </p>

 <p class=""mb-4 text-white"">
 Con técnicas de codificación y configuración precisa que incluyen aplicaciones para móviles, 
 lleva tu sitio web a nuevos niveles de éxito y aumenta el potencial de tu negocio al máximo, 
 para permitir a tus usuarios acceder a los servicios de una manera más directa y personal.
 </p>

<ul class=""text-white"">
<li>Experiencia de Usuario</li>
<li>Diseño de Interface</li>
<li>Web Responsivo</li>
 </ul>","<p class=""mb-4 text-white"">
Somos la solución digital para el desarrollo de tu proyecto web.</p>

<p class=""mb-4 text-white"">Con técnicas de codificación y configuración precisa que incluyen aplicaciones para móviles, lleva tu sitio web a nuevos niveles de éxito y aumenta el potencial de tu negocio al máximo, para permitir a tus usuarios acceder a los servicios de una manera más directa y personal.</p>

<ul class=""text-white"">
<li>Experiencia de Usuario</li>
<li>Diseño de Interface</li>
<li>Web Responsivo</li>
</ul>","<p class=""mb-4 text-white"">Siamo la soluzione digitale per lo sviluppo del Tuo progetto web.  </p>

<p class=""mb-4 text-white"">Grazie a  tecniche di codificazione e configurazione precise che includono applicazioni specifiche per Mobile, permetterai al tuo sito di raggiungere nuovi livelli di successo, per poter così aumentare le potenzialità della tua attività, e per permettere ai tuoi utenti di accedere ai tuoi servizi più facilmente e in un modo più esclusivo.</p>

<ul class=""text-white"">
<li>User Experience     </li>
<li>Disegno di Interfaccia </li>
<li>Web Responsive </li>
</ul>","<p class=""mb-4 text-white"">
We are the digital solution for the development of your web project</p>

<p class=""mb-4 text-white"">With precise coding and configuration techniques that include mobile applications, take your website to new levels of success and increase the potential of your business to the maximum, to allow your users to access services in a more direct and personal way.</p>

<ul class=""text-white"">
<li>User Experience </li>
<li>Interface Design </li>
<li>Responsive Websites </li>
</ul>","
<p class=""mb-4 text-white"">Somos a solução digital para o desenvolvimento do seu projeto web</p>

<p class=""mb-4 text-white"">Com técnicas precisas de codificação e configuração que incluem aplicativos móveis, leve seu site a novos níveis de sucesso e aumente o potencial de seus negócios ao máximo, para permitir que seus usuários acessem os serviços de maneira mais direta e pessoal.</p>

<ul class=""text-white"">
<li>Experiência de Usuário</li>
<li>Design de Interface</li>
<li>Websites Responsivos</li>
</ul>
","<p class=""mb-4 text-white"">Nous sommes la solution numérique pour le développement de votre projet web</p>

<p class=""mb-4 text-white"">Grâce à des techniques de codage et de configuration précises incluant des applications mobiles, optimisez le succès de votre site web et augmentez au maximum le potentiel de votre entreprise pour permettre à vos utilisateurs d'accéder aux services de manière plus directe et plus personnelle.</p>


<ul class=""text-white"">
<li>Expérience Utilisateur</li>
<li>Design d'interface</li>
<li>Sites Web réactifs</li>
</ul>"
,especialidades_seccion3,{{$store.getters.getTags({tag:'specialties_title3'})}},specialties_title3,,Jumperr Start,Jumperr Start,Jumperr Start,Jumperr Start,Jumperr Start
,especialidades_seccion3,{{$store.getters.getTags({tag:'specialties_text5'})}},specialties_text5,,"
La herramienta que te permitirá hacer tu página web de la manera más rápida y fácil con plantillas categorizadas.




","    Lo strumento che ti permetterà di creare la tua pagina web nel modo più facile e veloce, grazie a modelli di disegno categorizzati.
 
   
","
The tool that will allow you to make your web page in the fastest and easiest way with categorized templates.




","
A ferramenta que permitirá que você crie sua página da maneira mais rápida e fácil com modelos categorizados.



","
L'outil qui vous permettra de créer votre page web de la manière la plus rapide et la plus simple avec des modèles catégorisés.




"
,especialidades_seccion3,{{$store.getters.getTags({tag:'specialties_text6'})}},specialties_text6,,Crea tu sitio web,Crea la tua pagina web,Create your website,Crie seu site,Créez votre site web
,especialidades_seccion3,{{$store.getters.getTags({tag:'specialties_text7'})}},specialties_text7,,Sube tus productos,Carica i tuoi prodotti,Upload your products,Envie seus produtos,Téléchargez vos produits
,especialidades_seccion3,{{$store.getters.getTags({tag:'specialties_text8'})}},specialties_text8,, Sube tu calendario,Crea il tuo calendario,Upload your calendar,Envie seu calendário,Téléchargez votre calendrier
,especialidades_seccion3,{{$store.getters.getTags({tag:'specialties_tex9'})}},specialties_text9,,Crea tu blog,Crea il tuo blog,Create your blog,Crie seu blog,Créez votre blog
,especialidades_seccion3,{{$store.getters.getTags({tag:'specialties_text10'})}},specialties_text10,,Revisa tus estadísticas,Visualizza le tue statistiche,Check your statistics,Verifique suas estatísticas,Vérifiez vos statistiques
,especialidades_seccion3,{{$store.getters.getTags({tag:'specialties_text11'})}},specialties_text11,,Elige tu dominio,Scegli il tuo dominio,Choose your domain,Escolha seu domínio,Choisissez votre domaine
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_text63'})}},specialties_text63,,Estamos desarrollando una nueva versión,Stiamo sviluppando una nuova versione,We are developing a new version,Estamos desenvolvendo uma nova versão,Nous développons une nouvelle version
,especialidades_seccion4,{{$store.getters.getTags({tag:'specialties_text12'})}},specialties_text12,,Suscríbete y te enviaremos una notificación para que seas uno de los primeros en probar Jumperr Start,Iscriviti e ti avviseremo con un messaggio affinchè tu sia uno dei primi a poter provare Jumperr Start,Subscribe and we will send you a notification to be one of the first to try Jumperr Start,Assine e nós lhe enviaremos uma notificação para ser um dos primeiros a tentar Jumperr Start,bonnez-vous et nous vous enverrons une notification pour que vous soyez l'un des premiers à essayer Jumperr Start
,especialidades_seccion4,{{$store.getters.getTags({tag:'specialties_text13'})}},specialties_text13,,Tu Correo Electrónico,La tua email,Your e-mail,Teu e-mail,Ton adresse mail
,especialidades_seccion4,{{$store.getters.getTags({tag:'specialties_text14'})}},specialties_text14,,Enviar,inviare,Submit,Enviar,Envoyer
,especialidades_seccion4,{{$store.getters.getTags({tag:'specialties_text15'})}},specialties_text15,,"Sí, deseo mantenerme actualizado","Sì, ho bisogno di rimanere aggiornato","Yes, I need to stay updated","Sim, preciso ficar atualizado","Oui, je dois rester à jour"
,especialidades_seccion5,{{$store.getters.getTags({tag:'specialties_title4'})}},specialties_title4,,REDES SOCIALES,Social Network,SOCIAL NETWORK,REDES SOCIAIS,RÉSEAUX SOCIAUX
,especialidades_seccion5,{{$store.getters.getTags({tag:'specialties_text16'})}},specialties_text16,"<p class=""text-white"">   
                                Conecta, interactúa y ten éxito junto con tus clientes.
                            </p>

                            <p class=""text-white"">   
                                Ten la posibilidad de administrar tus redes sociales 
                                para potenciar y garantizar la presencia en la web y llegar a millones de usuarios.
                            </p>

                            <p class=""text-white"">   
                                Conectate con tu audiencia y ten presencia con tu marca
                                a través de estrategias de marketing digital, 
                                desde content marketing, mailing, SEO, automatización 
                                y comercio electrónico, 
                                que permitirán la promoción de productos y 
                                servicios en las diferentes plataformas online.
                            </p>

                            <p class=""text-white"">   
                                <strong>¡Haz crecer tu negocio con nosotros!</strong>
                            </p>","
 
<p class=""text-white"">   Conectáte, interactúa y alcanza hoy el éxito optimizando tu posicionamiento online.</p>  

<p class=""text-white"">   Ten la posibilidad de administrar tus redes sociales para potenciar y garantizar tu presencia en la web globalizando tu marca, para llegar a millones de usuarios. </p>  

<p class=""text-white"">   Conéctate con tu audiencia y ten presencia con tu marca a través de estrategias de marketing digital, desde content marketing, mailing, SEO, automatización y comercio electrónico, que permitirán la promoción de productos y servicios en las diferentes plataformas online.</p>  

<p class=""text-white"">   ¡Haz crecer tu negocio con nosotros!</p>  
</p>   ","    <p class=""text-white"">Connettiti, interagisci e raggiungi  il successo ottimizzando il tuo posizionamento online. </p>

  <p class=""text-white"">Avrai la possibilità di gestire facilmente i tuoi social networks per potenziare la tua presenza web globalizzando il tuo marchio e raggiungere milioni di utenti</p>

<p class=""text-white""> Connettiti col tuo pubblico e fai conoscere il tuo marchio attraverso le migliori strategie di Marketing DIgitale come il Content Marketing, il Mailing, Il SEO, l' automatizzazione e il commercio elettronico, che ti permetteranno di promuovere i tuoi prodotti e servizi sulle diverse piattaforme online dedicate.</p>

<p class=""text-white"">    Fai crescere il tuo business con noi!</p>","
<p class=""text-white"">Connect, interact and achieve success today by optimizing your online ranking.</p>

<p class=""text-white"">Be able to manage your social networks to enhance and guarantee your presence on the web by globalizing your brand, to reach millions of users. </p>

<p class=""text-white"">Connect with your audience and have presence with your brand through digital marketing strategies, from content marketing, mailing, SEO, automation and e-commerce, which will allow the promotion of products and services in different online platforms.</p>

<p class=""text-white"">Grow your business with us!</p>","

<p class=""text-white"">Conecte-se, interaja e obtenha sucesso hoje, otimizando sua classificação on-line.</p>

<p class=""text-white"">Seja capaz de gerenciar suas redes sociais para melhorar e garantir sua presença na web, globalizando sua marca para alcançar milhões de usuários. </p>

<p class=""text-white"">Conecte-se com o seu público e tenha presença com a sua marca através de estratégias de marketing digital, desde marketing de conteúdo, mailing, SEO, automação e e-commerce, que permitirão a promoção de produtos e serviços em diferentes plataformas online.</p>

<p class=""text-white"">Aumente seus negócios conosco!</p>","

<p class=""text-white"">Connectez-vous, interagissez et réalisez le succès aujourd'hui en optimisant votre classement en ligne.</p>

<p class=""text-white"">Soyez capable de gérer vos réseaux sociaux pour améliorer et garantir votre présence sur le Web en globalisant votre marque, pour atteindre des millions d'utilisateurs.</p>

<p class=""text-white""> Connectez-vous avec votre public et soyez présent avec votre marque grâce à des stratégies de marketing numérique, telles que marketing de contenu, mailing, référencement, automatisation et commerce électronique, qui permettront de promouvoir des produits et services sur différentes plateformes en ligne.</p>

<p class=""text-white"">Développez votre entreprise avec nous!</p>"
,especialidades_seccion6,{{$store.getters.getTags({tag:'specialties_title5'})}},specialties_title5,,CMS y CRM,CMS e CRM,CMS and CRM,CMS e CRM,CMS et CRM
